selfies,smiles,sa_score
[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring2][Branch2][C@H1][C][C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][=N][NH1][C][=Ring1][N][C@H1][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][N][Ring2][Ring1][=Branch1][C][=C][Ring2][Ring1][N],C1OC(=O)C=CC=C1[C@H1]2C=3C(C4=CC=CC=C4O)=N[NH1]C=3[C@H1](C5=CC=C(Cl)C=C5)N2C=C,4.072038830870654
[C][C][C][C][C][C][C][C][=Branch1][C][=O][N][Branch1][=C][C][C][=Branch1][C][=O][N][C][C][=C][O][N][=Ring1][Branch1][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][Cl][C],CCCCCCCC(=O)N(CC(=O)NC=1C=CON=1)C(F)C=CC=CCl,3.645532771131175
[C][C][=C][C][=C][N][=C][Branch2][Ring2][C][C][=C][C][Branch2][Ring1][Branch1][/NH1+1][=C][/C][=C][Branch1][C][O-1][C][=C][Branch1][C][C][C][Branch1][C][Br][=C][Ring1][=Branch2][O-1][=C][C][=C][Ring2][Ring1][C][O][O][C][Ring2][Ring1][Branch2][=C][Ring2][Ring1][N],CC1=CC=C2N=C(C3=CC(/[NH1+1]=C/C4=C([O-1])C=C(C)C(Br)=C4[O-1])=CC=C3O)OC2=C1,4.059661502717807
[C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring2][Ring1][C@@H1][C][C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][=N][NH1][C][=Ring1][N][C][=Branch1][C][=O][N][Ring1][S][C][C][=C][C][=C][O][Ring1][Branch1][C][=C][Ring2][Ring1][N],CC(C)C1=CC=C([C@@H1]2C=3C(C4=CC=CC=C4O)=N[NH1]C=3C(=O)N2CC5=CC=CO5)C=C1,2.9770646829055067
[C][C][=C][C][Branch1][C][C][=C][C][Branch2][Ring2][Ring1][N][C][=Branch1][C][=O][C][=C][C][Branch2][Ring1][C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][C][C][C][C][Ring1][#Branch1][=C][C][=C][Ring1][P][F][=C][Ring2][Ring1][=N],C1C=CC(C)=CC1NC(=O)C=CC(S(=O)(=O)N2CCCCCC2=C)C=CF,4.679666776065247
[C][C][N][Branch1][Ring1][C][C][C][N][C][=Branch1][C][=O][C][S][C@@H1][Ring1][=Branch1][C][=C][C][=C][Branch2][Ring1][S][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][Branch1][#C][C][=N][O][C][Branch1][=Branch1][C][C][C][Ring1][Ring1][=N][Ring1][Branch2][=C][Ring1][=C][C][=C][Ring2][Ring1][Branch2],CCN(CC)CN1C(=O)CS[C@@H1]1C2=CC=C(NS(=O)(=O)C3=CC=CC(C4=NOC(C5CC5)=N4)=C3)C=C2,3.256962442826099
[C][C][=C][C][=C][Branch2][Ring2][N][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch2][Ring1][=Branch1][C][C][=N][C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=N][O][Ring1][N][C][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring2][Ring1][=N][C],CC1=CC=C(S(=O)(=O)N(CC2=NC(C3=CC=C(Cl)C=C3)=NO2)C4CCCCC4C=C1)C,4.3708442460916395
[C][C][=C][C][Branch2][Ring2][C][O][C][C][=N][C][Branch2][Ring1][#Branch1][C][=C][C][=C][C][Branch1][=N][N][C][=Branch1][C][=O][C][=C][C][=C][S][Ring1][Branch1][=C][Ring1][=C][=N][O][Ring2][Ring1][Ring1][=C][C][=C][Ring2][Ring1][O][Br],CC1=CC(OCC2=NC(C3=CC=CC(NC(=O)C4=CC=CS4)=C3)=NO2)=CC=C1Br,2.2359033830596875
[C][C][Branch1][C][C][C][=Branch1][C][=O][N][Branch2][Ring1][#Branch2][C][O][C][=C][C][=C][C][=C][N][=C][Branch1][N][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][C][=C][Branch1][C][C][C][Ring2][Ring1][C][=C][Ring2][Ring1][=Branch1],CC(C)C(=O)N(COC=CC1=CC=CN=C(C2=CC=C(Br)C=C2)C=C)CCC1=C,4.289248334320925
[C][C][=C][C][=C][Branch2][Ring2][#C][C][=N][O][C][Branch2][Ring2][Ring2][C][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][C][C@@H1][Branch1][C][C][C][C][Ring1][#Branch1][Ring2][Ring1][Ring2][=N][Ring2][Ring1][=Branch2][C][=C][Ring2][Ring1][#C],C1C=C2C=CC=NOC(C3=CC=CC=C3S(=O)(=O)NC4CC[C@@H1](C)CC4N2C)=C1,5.828651942019038
